Date,Timestamp,R,D,Margin,Daily Margin Change,Vote Difference,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots,Race
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,El Dorado,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,El Dorado,24960,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,El Dorado,1719,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,El Dorado,1719,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,El Dorado,1719,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,El Dorado,1719,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,El Dorado,1719,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,El Dorado,1719,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,El Dorado,1719,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,El Dorado,1719,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,El Dorado,1719,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,El Dorado,437,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,El Dorado,437,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,El Dorado,437,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,El Dorado,437,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,El Dorado,0,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,El Dorado,0,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,El Dorado,0,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,El Dorado,0,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,El Dorado,0,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,El Dorado,0,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,El Dorado,0,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,El Dorado,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,El Dorado,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,El Dorado,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Inyo,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Inyo,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Inyo,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Inyo,3189,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Inyo,699,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Inyo,699,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Inyo,699,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Inyo,699,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Inyo,699,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Inyo,699,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Inyo,229,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Inyo,229,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Inyo,229,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Inyo,229,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Inyo,229,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Inyo,229,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Inyo,3,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Inyo,3,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Inyo,3,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Inyo,3,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Inyo,3,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Inyo,9,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Inyo,9,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Inyo,0,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Inyo,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Inyo,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Inyo,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Mono,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Mono,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Mono,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Mono,300,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Mono,200,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Mono,200,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Mono,200,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Mono,200,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Mono,150,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Mono,150,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Mono,150,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Mono,150,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Mono,150,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Mono,100,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Mono,50,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Mono,50,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Mono,10,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Mono,10,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Mono,10,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Mono,10,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Mono,10,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Mono,10,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Mono,10,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Mono,10,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Mono,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Mono,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Mono,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Nevada,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Nevada,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Nevada,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Nevada,53290,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Nevada,46765,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Nevada,46765,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Nevada,46765,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Nevada,46765,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Nevada,46765,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Nevada,30449,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Nevada,30449,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Nevada,30449,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Nevada,30449,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Nevada,18622,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Nevada,18622,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Nevada,18622,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Nevada,18622,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Nevada,11294,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Nevada,11294,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Nevada,11294,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Nevada,85,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Nevada,85,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Nevada,85,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Nevada,73,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Nevada,73,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Nevada,73,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Nevada,73,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Nevada,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Nevada,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Nevada,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Placer,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Placer,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Placer,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Placer,67115,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Placer,67115,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Placer,67115,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Placer,67115,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Placer,67115,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Placer,50799,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Placer,31201,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Placer,31201,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Placer,31201,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Placer,31201,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Placer,7335,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Placer,9548,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Placer,9548,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Placer,9548,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Placer,9548,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Placer,7808,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Placer,7808,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Placer,7808,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Placer,5723,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Placer,5723,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Placer,5723,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Placer,250,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Placer,250,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Placer,250,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Placer,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Placer,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Placer,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Plumas,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Plumas,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Plumas,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Plumas,199,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Plumas,199,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Plumas,199,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Plumas,199,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Plumas,199,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Plumas,199,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Plumas,199,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Plumas,199,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Plumas,199,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Plumas,199,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Plumas,3,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Plumas,3,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Plumas,3,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Plumas,3,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Plumas,3,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Plumas,3,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Plumas,3,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Plumas,3,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Plumas,3,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Plumas,0,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Plumas,0,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Plumas,0,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Plumas,0,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Plumas,0,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Plumas,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Plumas,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Plumas,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Sacramento,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Sacramento,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Sacramento,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Sacramento,360050,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Sacramento,260062,CD-3
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Sacramento,260062,CD-3
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Sacramento,260062,CD-3
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Sacramento,260062,CD-3
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Sacramento,260062,CD-3
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Sacramento,260062,CD-3
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Sacramento,174072,CD-3
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Sacramento,174072,CD-3
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Sacramento,174072,CD-3
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Sacramento,60264,CD-3
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Sacramento,60264,CD-3
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Sacramento,60264,CD-3
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Sacramento,60264,CD-3
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Sacramento,60264,CD-3
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Sacramento,26050,CD-3
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Sacramento,26050,CD-3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Sacramento,16050,CD-3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Sacramento,16050,CD-3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Sacramento,16050,CD-3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Sacramento,16050,CD-3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Sacramento,8624,CD-3
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Sacramento,8624,CD-3
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Sacramento,0,CD-3
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Sacramento,0,CD-3
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Sacramento,0,CD-3
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Sacramento,0,CD-3
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Sierra,,CD-3
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Sierra,,CD-3
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Sierra,,CD-3
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Sierra,0,CD-3
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Sierra,0,CD-3
